code,label
"<comment> <comment> protected void <w> process Max Idle Swaps </w> ( ) { if ( ! <w> get State </w> ( ) . <w> is Available </w> ( ) | | <w> max Idle Swap </w> < 0 ) return ; Session sessions [ ] = <w> find Sessions </w> ( ) ; <comment> if ( <w> max Idle Swap </w> > = 0 ) { for ( int i = 0 ; i < sessions . length ; i + + ) { <w> Standard Session </w> session = ( <w> Standard Session </w> ) sessions [ i ] ; synchronized ( session ) { if ( ! session . <w> is Valid </w> ( ) ) continue ; int <w> time Idle </w> = ( int ) ( session . <w> get Idle Time Internal </w> ( ) / 1000l ) ; if ( <w> time Idle </w> > = <w> max Idle Swap </w> & & <w> time Idle </w> > = <w> min Idle Swap </w> ) { if ( session . <w> access Count </w> ! = null & & session . <w> access Count </w> . get ( ) > 0 ) { <comment> continue ; } if ( log . <w> is Debug Enabled </w> ( ) ) log . debug ( sm . <w> get String </w> ( <str-literal> <str-literal> <str-literal> , session . <w> get Id Internal </w> ( ) , Integer . <w> value Of </w> ( <w> time Idle </w> ) ) ) ; try { <w> swap Out </w> ( session ) ; } catch ( <w> IO Exception </w> e ) { <comment> } } } } } }",0
@ Override public boolean [ ] <w> get Subject Unique ID </w> ( ) { return unwrap ( ) . <w> get Subject Unique ID </w> ( ) ; },1
"public int <w> get Attributes </w> ( String name ) { return <w> find Attribute Slot </w> ( name , 0 , <w> SLOT _ QUERY </w> ) . <w> get Attributes </w> ( ) ; }",1
<comment> public static final int <w> TOKEN _ SHOWBOLDNAMES </w> = 20 ;,0
"<comment> public String <w> end Serialized XML Recording </w> ( ) throws <w> SAX Exception </w> , <w> Processing Exception </w> { <w> XM Lizable </w> xml = <w> end SAX Recording </w> ( ) ; String text = <w> XML Utils </w> . serialize ( xml , ( Properties ) this . stack . pop ( ) ) ; if ( <w> get Logger </w> ( ) . <w> is Debug Enabled </w> ( ) ) { <w> get Logger </w> ( ) . debug ( <str-literal> <str-literal> <str-literal> + text ) ; } return text ; }",0
<comment> <comment> <comment> <comment> <comment> public void <w> return Component Logger </w> ( String role ) { },1
<comment> protected final String <w> DRIVER _ JAVA _ OPTIONS </w> = <str-literal> <str-literal> <str-literal> ;,1
"@ Test public void <w> return Error RPC </w> ( ) throws Exception { <w> Rpc Result </w> res = <w> send RPC </w> ( <str-literal> <str-literal> <str-literal> ) ; <w> assert True </w> ( res . <w> success Messages </w> . <w> is Empty </w> ( ) ) ; <w> assert Errors Contain </w> ( res . <w> error Messages </w> , Sets . <w> new Hash Set </w> ( <str-literal> <str-literal> <str-literal> ) ) ; }",1
private String provides ;,1
public static void main ( String [ ] args ) { <w> Live Connect Drv </w> d = new <w> Live Connect Drv </w> ( args ) ; d . start ( ) ; },0
<comment> public void <w> end Document </w> ( ) throws <w> SAX Exception </w> { },0
protected <w> M Bean Parameter Info </w> [ ] <w> get M Bean Parameter Info </w> ( ) { <w> Parameter Info </w> params [ ] = <w> get Signature </w> ( ) ; <w> M Bean Parameter Info </w> parameters [ ] = new <w> M Bean Parameter Info </w> [ params . length ] ; for ( int i = 0 ; i < params . length ; i + + ) parameters [ i ] = params [ i ] . <w> create Parameter Info </w> ( ) ; return parameters ; },1
<comment> public static final int <w> SSL _ INFO _ CLIENT _ S _ DN </w> = 0x0010 ;,0
<comment> private <w> Test Rule Setup Teardown Chained </w> <w> parent Chain Call Rule </w> = new <w> Test Rule Setup Teardown Chained </w> ( ) ;,0
protected <w> Array List </w> <w> is Cache Point </w> = new <w> Array List </w> ( ) ;,1
protected final <w> Connector Task Id </w> id ;,0
"static public void <w> to SAX </w> ( <w> Service Manager </w> manager Source source , <w> Content Handler </w> handler , Parameters <w> type Parameters </w> , boolean <w> filter Document Event </w> ) throws <w> SAX Exception </w> , <w> IO Exception </w> , <w> Processing Exception </w> { <comment> if ( <w> type Parameters </w> ! = null & & <w> type Parameters </w> . <w> get Parameter </w> ( <w> URL Rewriter </w> . <w> PARAMETER _ MODE </w> , null ) ! = null ) { handler = new <w> URL Rewriter </w> ( <w> type Parameters </w> , handler ) ; } String <w> mime Type Hint </w> = null ; if ( <w> type Parameters </w> ! = null ) { <w> mime Type Hint </w> = <w> type Parameters </w> . <w> get Parameter </w> ( <str-literal> <str-literal> <str-literal> , <w> mime Type Hint </w> ) ; } if ( <w> filter Document Event </w> ) { <w> Include XML Consumer </w> filter = new <w> Include XML Consumer </w> ( handler ) ; <w> to SAX </w> ( manager , source , <w> mime Type Hint </w> , filter ) ; } else { <w> to SAX </w> ( manager , source , <w> mime Type Hint </w> , handler ) ; } }",1
"@ Override public Producer < byte [ ] , byte [ ] > <w> get Producer </w> ( Map < String , Object > config ) { return new <w> Kafka Producer </w> < > ( config , new <w> Byte Array Serializer </w> ( ) , new <w> Byte Array Serializer </w> ( ) ) ; }",1
@ Override public boolean <w> has Offsets </w> ( ) { return <w> field Info </w> . <w> get Index Options </w> ( ) . <w> compare To </w> ( <w> Index Options </w> . <w> DOCS _ AND _ FREQS _ AND _ POSITIONS _ AND _ OFFSETS </w> ) > = 0 ; },0
private final String <w> new Lines </w> ;,1
<comment> private int <w> next Timeout Ms </w> ;,0
<comment> public void <w> set Limit </w> ( long limit ) { this . limit = limit ; },0
public void <w> To Source </w> ( <w> String Builder </w> sb ) { sb . append ( <str-literal> <str-literal> <str-literal> ) ; Expression . <w> To Source </w> ( sb ) ; sb . append ( <str-literal> <str-literal> <str-literal> ) ; },1
public byte [ ] <w> get Lower Point </w> ( ) { return <w> lower Point </w> . clone ( ) ; },1
"<comment> int <w> handle Timeouts </w> ( Collection < Call > calls , String msg ) { int <w> num Timed Out </w> = 0 ; for ( Iterator < Call > iter = calls . iterator ( ) ; iter . <w> has Next </w> ( ) ; ) { Call call = iter . next ( ) ; int <w> remaining Ms </w> = <w> calc Timeout Ms Remaining As Int </w> ( now , call . <w> deadline Ms </w> ) ; if ( <w> remaining Ms </w> < 0 ) { call . fail ( now , new <w> Timeout Exception </w> ( msg ) ) ; iter . remove ( ) ; <w> num Timed Out </w> + + ; } else { <w> next Timeout Ms </w> = Math . min ( <w> next Timeout Ms </w> , <w> remaining Ms </w> ) ; } } return <w> num Timed Out </w> ; }",0
public static final int INITIALIZE = 0x000 ;,1
<comment> public final long <w> get Last Modified </w> ( ) { <comment> if ( System . <w> current Time Millis </w> ( ) > = <w> next Check Time </w> ) { <comment> this . refresh ( ) ; } return this . <w> last Modified </w> ; },1
<comment> private String <w> prepared Roles </w> = null ;,0
<comment> public boolean sleep ( int ms ) { try { THREAD . sleep ( 5000 ) ; } catch ( Exception e ) { p ( <str-literal> <str-literal> <str-literal> + e ) ; return false ; } return true ; },0
public static long <w> Param Mods </w> = Ref | Out ;,1
<comment> private final short acks ;,1
<comment> public final static String <w> INCLUDE _ NAME _ DEFAULT </w> = <str-literal> <str-literal> <str-literal> ;,1
public boolean equals ( Object obj ) { return obj = = this | | obj instanceof <w> Global Namespace </w> ; },0
public int <w> hash Code </w> ( ) { return Objects . hash ( Namespace . GLOBAL ) ; },0
"private void <w> get Interfaces </w> ( Set interfaces Class [ ] <w> clazz Interfaces </w> = clazz . <w> get Interfaces </w> ( ) ; for ( int i = 0 ; i < <w> clazz Interfaces </w> . length ; i + + ) { <comment> <comment> <w> get Interfaces </w> ( interfaces , <w> clazz Interfaces </w> [ i ] ) ; } <comment> <comment> Class superclazz = clazz . <w> get Superclass </w> ( ) ; if ( superclazz ! = null ) { <comment> <w> get Interfaces </w> ( interfaces , superclazz ) ; } interfaces . <w> add All </w> ( Arrays . <w> as List </w> ( <w> clazz Interfaces </w> ) ) ; }",1
final char [ ] <w> get Char Buffer </w> ( int <w> minimal Size </w> ) { if ( <w> minimal Size </w> > <w> tmp Char Buffer </w> . length ) { int <w> new Size </w> = <w> tmp Char Buffer </w> . length * 2 ; if ( <w> minimal Size </w> > <w> new Size </w> ) { <w> new Size </w> = <w> minimal Size </w> ; } <w> tmp Char Buffer </w> = new char [ <w> new Size </w> ] ; } return <w> tmp Char Buffer </w> ; },1
<comment> public long <w> get Spill Size </w> ( ) { return <w> total Spill Bytes </w> ; },0
public <w> Cv Mat </w> <w> get H </w> ( ) { update ( ) ; return H ; },1
"<comment> private Hashtable < Class , Icon > <w> icon Cache </w> = new Hashtable < Class , Icon > ( ) ;",0
/ * * Maximum per - dim values protected final byte [ ] <w> max Packed Value </w> ;,1
"<comment> public String <w> get Java Path </w> ( ) { if ( <w> java Path </w> ! = null ) { return <w> java Path </w> ; } if ( <w> is Tag File </w> ( ) ) { String <w> tag Name </w> = <w> tag Info </w> . <w> get Tag Class Name </w> ( ) ; <w> java Path </w> = <w> tag Name </w> . replace ( <str-literal> , <str-literal> ) + <str-literal> <str-literal> <str-literal> ; } else { <w> java Path </w> = <w> get Servlet Package Name </w> ( ) . replace ( <str-literal> , <str-literal> ) + <str-literal> + <w> get Servlet Class Name </w> ( ) + <str-literal> <str-literal> <str-literal> ; } return <w> java Path </w> ; }",1
"<comment> public void <w> prefetch On Merge </w> ( <w> Merging State Accessor </w> < ? , W > state ) { <w> State Merging </w> . <w> prefetch Watermarks </w> ( state , <w> element Hold Tag </w> ) ; }",0
"private static void <w> print Transformation Html </w> ( <w> Print Stream </w> out , <w> Doc Info </w> <w> doc Info </w> ) { out . println ( <str-literal> <str-literal> <str-literal> <str-literal> + <w> doc Info </w> . <w> transformation Name </w> + <str-literal> <str-literal> <str-literal> <str-literal> ) ; out . print ( <str-literal> <str-literal> <str-literal> ) ; out . print ( <w> doc Info </w> . <w> transformation Name </w> ) ; out . println ( <str-literal> <str-literal> <str-literal> ) ; out . println ( <w> doc Info </w> . overview ) ; out . println ( <str-literal> <str-literal> <str-literal> ) ; out . println ( <w> doc Info </w> . <w> config Def </w> . <w> to Html Table </w> ( ) ) ; out . println ( <str-literal> <str-literal> <str-literal> ) ; }",0
public <w> Project Builder Configuration </w> <w> set Global Profile Manager </w> ( <w> Profile Manager </w> <w> global Profile Manager </w> ) { this . <w> global Profile Manager </w> = <w> global Profile Manager </w> ; return this ; },1
private void <w> compute Next </w> ( ) { if ( <w> next Element Computed </w> ) { return ; } if ( ! iterator . <w> has Next </w> ( ) ) { return ; } <w> next Element </w> = iterator . next ( ) ; <w> next Element Computed </w> = true ; },0
private final <w> Byte Buffer </w> value ;,1
private static final String <w> CLIENT _ MAX _ WINDOW _ BITS </w> = <str-literal> <str-literal> <str-literal> ;,1
"<comment> public <w> Join Windows </w> before ( final long <w> time Difference Ms </w> ) throws <w> Illegal Argument Exception </w> { return new <w> Join Windows </w> ( <w> time Difference Ms </w> , <w> after Ms </w> ) ; }",0
<comment> protected final String ellipsis ;,0
"<comment> private void <w> handle Disconnections </w> ( List < <w> Client Response </w> > responses , long now ) { for ( Map . Entry < String , <w> Channel State </w> > entry : this . selector . disconnected ( ) . <w> entry Set </w> ( ) ) { String node = entry . <w> get Key </w> ( ) ; log . debug ( <str-literal> <str-literal> <str-literal> , node ) ; <w> process Disconnection </w> ( responses , node , now , entry . <w> get Value </w> ( ) ) ; } <comment> if ( this . selector . disconnected ( ) . size ( ) > 0 ) <w> metadata Updater </w> . <w> request Update </w> ( ) ; }",0
public List <w> get Ids Activated By Default </w> ( ) { return <w> default Ids </w> ; },0
<comment> static final int <w> SORTED _ SET _ TABLE </w> = 2 ;,1
private static final String <w> ILLEGAL _ REPO _ ID _ CHARS </w> = <w> ILLEGAL _ FS _ CHARS </w> ;,1
private final int <w> num Iterations </w> ;,0
"<comment> private static final Map < String , String > <w> OFFSET _ KEY </w> = Collections . <w> singleton Map </w> ( <str-literal> <str-literal> <str-literal> , <str-literal> <str-literal> <str-literal> ) ;",1
private static final Set < <w> Topic Partition </w> > <w> CONSUMER _ ASSIGNMENT </w> = new <w> Hash Set </w> < > ( Arrays . <w> as List </w> ( <w> TP 0 </w>,1
private double [ ] peak ;,1
"<comment> private void <w> get Packages </w> ( Configuration conf ) { Configuration [ ] children = conf . <w> get Children </w> ( <str-literal> <str-literal> <str-literal> ) ; int i = children . length ; while ( i - - > 0 ) { String <w> package Name </w> = children [ i ] . <w> get Attribute </w> ( <str-literal> <str-literal> <str-literal> , null ) ; String prefix = children [ i ] . <w> get Attribute </w> ( <str-literal> <str-literal> <str-literal> , null ) ; if ( <w> package Name </w> ! = null & & prefix ! = null ) { this . library . <w> add Functions </w> ( new <w> Package Functions </w> ( <w> package Name </w> , prefix ) ) ; } } }",1
"abstract Builder < K , V > <w> set Key Translation Function </w> ( <w> Simple Function </w> < ? , K > function ) ;",1
private Map holder = Collections . <w> synchronized Map </w> ( new <w> Hash Map </w> ( ) ) ;,1
<comment> protected boolean <w> reload Scripts </w> ;,0
public static final String <w> COMMON _ ALIAS </w> = <str-literal> <str-literal> <str-literal> ;,0
@ Override public Collection <w> get Profile Packages </w> ( ) { <w> load Model </w> ( ) ; return <w> profile Packages </w> ; },1
protected <w> CL Image 2 d </w> [ ] <w> projector Image CL </w> = null ;,1
<comment> protected Long expires = null ;,1
public static long Params = 0x0020000 ;,1
<comment> public int <w> sample Rate </w> ;,0
<comment> public static double <w> to Degrees </w> ( final double radians ) { return radians * <w> TO _ DEGREES </w> ; },0
private Map objectmodel ;,1
"<comment> public void validate ( ) { for ( Field field : schema . fields ( ) ) { Schema <w> field Schema </w> = field . schema ( ) ; Object value = values [ field . index ( ) ] ; if ( value = = null & & ( <w> field Schema </w> . <w> is Optional </w> ( ) | | <w> field Schema </w> . <w> default Value </w> ( ) ! = null ) ) continue ; <w> Connect Schema </w> . <w> validate Value </w> ( field . name ( ) , <w> field Schema </w> , value ) ; } }",0
public Integer validate ( Object item ) { if ( item instanceof Integer ) return ( Integer ) item ; throw new <w> Schema Exception </w> ( item + <str-literal> <str-literal> <str-literal> ) ; },0
<comment> protected long <w> term Instances </w> ;,1
public long <w> get Sum Total Term Freq </w> ( ) { return <w> sum Total Term Freq </w> ; },0
public static final String <w> IS _ MANDATORY </w> = <str-literal> <str-literal> <str-literal> ;,1
<comment> W <w> write State Address </w> ( W window ) ;,0
"public String [ ] <w> get Prompts </w> ( Context cx ) { if ( <w> Scriptable Object </w> . <w> has Property </w> ( this , <str-literal> <str-literal> <str-literal> ) ) { Object <w> prompts JS </w> = <w> Scriptable Object </w> . <w> get Property </w> ( this , <str-literal> <str-literal> <str-literal> ) ; if ( <w> prompts JS </w> instanceof Scriptable ) { Scriptable s = ( Scriptable ) <w> prompts JS </w> ; if ( <w> Scriptable Object </w> . <w> has Property </w> ( s , 0 ) & & <w> Scriptable Object </w> . <w> has Property </w> ( s , 1 ) ) { Object <w> elem 0 </w> = <w> Scriptable Object </w> . <w> get Property </w> ( s , 0 ) ; if ( <w> elem 0 </w> instanceof Function ) { <w> elem 0 </w> = ( ( Function ) <w> elem 0 </w> ) . call ( cx , this , s , new Object [ 0 ] ) ; } prompts [ 0 ] = Context . <w> to String </w> ( <w> elem 0 </w> ) ; Object <w> elem 1 </w> = <w> Scriptable Object </w> . <w> get Property </w> ( s , 1 ) ; if ( <w> elem 1 </w> instanceof Function ) { <w> elem 1 </w> = ( ( Function ) <w> elem 1 </w> ) . call ( cx , this , s , new Object [ 0 ] ) ; } prompts [ 1 ] = Context . <w> to String </w> ( <w> elem 1 </w> ) ; } } } return prompts ; }",1
protected static final <w> String Manager </w> sm = <w> String Manager </w> . <w> get Manager </w> ( <w> Order Interceptor </w> . class ) ;,0
<comment> public static final String <w> CLIENT _ ID _ CONFIG </w> = <w> Common Client Configs </w> . <w> CLIENT _ ID _ CONFIG </w> ;,0
public int <w> get Max Inactive Interval </w> ( ) { <w> check Valid </w> ( ) ; return maxinactiveinterval ; },1
public List < String > <w> get Dependency Trail </w> ( ) throws <w> Over Constrained Version Exception </w> { List < Artifact > trial = <w> get Trail </w> ( ) ; List < String > ret = new <w> Array List </w> < > ( trial . size ( ) ) ; for ( Artifact artifact : trial ) { ret . add ( artifact . <w> get Id </w> ( ) ) ; } return ret ; },1
public static final int <w> DEFAULT _ ITERATIONS </w> = 1 ;,0
<comment> private static int <w> no Docs </w> ;,0
"<comment> private Map < Thread , T > <w> hard Refs </w> = new <w> Weak Hash Map </w> < > ( ) ;",0
"private <w> Accumulated Metric Result </w> ( <w> Metric Name </w> name , String step , T attempted , T committed , boolean <w> is Committed Supported </w> ) { this . name = name ; this . step = step ; this . attempted = attempted ; this . committed = committed ; this . <w> is Committed Supported </w> = <w> is Committed Supported </w> ; }",0
int days = 0 ;,1
private <w> Prefix Aware Token Filter </w> suffix ;,1
<comment> public static final String <w> CLIENT _ ID _ CONFIG </w> = <w> Common Client Configs </w> . <w> CLIENT _ ID _ CONFIG </w> ;,0
<comment> private static final int <w> ALL _ TAGS </w> = 3 ;,1
<comment> public synchronized List <w> get Targets </w> ( ) { return Collections . <w> unmodifiable List </w> ( targets ) ; },0
"* * * Check for calls which have timed out . * Timed out calls will be removed and failed . * The remaining milliseconds until the next timeout will be updated . * * @ param calls The collection of calls . * * @ return The number of calls which were timed out . * / int <w> handle Timeouts </w> ( Collection < Call > calls , String msg ) { int <w> num Timed Out </w> = 0 ; for ( Iterator < Call > iter = calls . iterator ( ) ; iter . <w> has Next </w> ( ) ; ) { Call call = iter . next ( ) ; int <w> remaining Ms </w> = <w> calc Timeout Ms Remaining As Int </w> ( now , call . <w> deadline Ms </w> ) ; if ( <w> remaining Ms </w> < 0 ) { call . fail ( now , new <w> Timeout Exception </w> ( msg ) ) ; iter . remove ( ) ; <w> num Timed Out </w> + + ; } else { <w> next Timeout Ms </w> = Math . min ( <w> next Timeout Ms </w> , <w> remaining Ms </w> ) ; } } return <w> num Timed Out </w> ; }",0
<comment> private static final char [ ] <w> ZZ _ CMAP </w> = <w> zz Unpack C Map </w> ( <w> ZZ _ CMAP _ PACKED </w> ) ;,0
"<comment> public java . util . Map < java . lang . String , java . util . List < org . apache . spark . sql . execution . datasources . parquet . test . avro . Nested > > <w> get Complex Column </w> ( ) { return <w> complex _ column </w> ; }",0
private final static int <w> NUM _ TOPIC _ PARTITIONS </w> = 2 ;,0
<comment> public int <w> is Valid </w> ( ) { if ( System . <w> current Time Millis </w> ( ) < = expiry ) { <comment> return <w> Source Validity </w> . VALID ; } <comment> expiry = System . <w> current Time Millis </w> ( ) + delay ; if ( uris = = null | | ! <w> is Closed </w> ) { <comment> return <w> Source Validity </w> . INVALID ; } else { <comment> return <w> compute Status </w> ( null ) ; } },1
protected final <w> Bit Set </w> <w> is Internal Edges </w> ;,1
private static final String [ ] <w> PDF _ ZIP _ FILE </w>,1
<w> Byte Pointer </w> [ ] <w> image _ ptr </w> ;,1
@ Override public boolean <w> is Async </w> ( ) { return <w> async State Machine </w> . <w> is Async </w> ( ) ; },0
<comment> private final Set < <w> Tuple Tag </w> < ? > > <w> output Tags </w> ;,0
private static final int <w> DEFAULT _ MAX _ NUM _ TERMS </w> = 50 ;,0
@ Override protected String <w> get Instructions </w> ( int index ) { return null ; },1
private void <w> update Peak Memory Used </w> ( ) { long mem = <w> get Memory Usage </w> ( ) ; if ( mem > <w> peak Memory Used Bytes </w> ) { <w> peak Memory Used Bytes </w> = mem ; } },0
<comment> public static final int <w> TOKEN _ SHOWTYPES </w> = 17 ;,0
private final double bytes ;,1
<comment> public final byte [ ] metadata ;,1
protected <w> Cv Mat </w> [ ] <w> H 2 </w> = null ;,1
<comment> void <w> ensure Window Exists </w> ( W window ) ;,1
<comment> protected Cookie [ ] cookies = null ;,0
public <w> Bounded Window </w> window ( ) { throw new <w> Unsupported Operation Exception </w> ( <str-literal> <str-literal> <str-literal> ) ; },0
"@ Override public Set < String > <w> set Init Parameters </w> ( Map < String , String > <w> init Parameters </w> ) { Set < String > conflicts = new <w> Hash Set </w> < > ( ) ; for ( Map . Entry < String , String > entry : <w> init Parameters </w> . <w> entry Set </w> ( ) ) { if ( entry . <w> get Key </w> ( ) = = null | | entry . <w> get Value </w> ( ) = = null ) { throw new <w> Illegal Argument Exception </w> ( sm . <w> get String </w> ( <str-literal> <str-literal> <str-literal> , entry . <w> get Key </w> ( ) , entry . <w> get Value </w> ( ) ) ) ; } if ( <w> get Init Parameter </w> ( entry . <w> get Key </w> ( ) ) ! = null ) { conflicts . add ( entry . <w> get Key </w> ( ) ) ; } } <comment> <comment> for ( Map . Entry < String , String > entry : <w> init Parameters </w> . <w> entry Set </w> ( ) ) { <w> set Init Parameter </w> ( entry . <w> get Key </w> ( ) , entry . <w> get Value </w> ( ) ) ; } return conflicts ; }",1
<comment> @ Override public boolean ready ( ) throws <w> IO Exception </w> { return false ; },1
<comment> protected final <w> Atomic Long </w> <w> current Size </w> = new <w> Atomic Long </w> ( 0 ) ;,0
@ Override public Enumeration < Locale > <w> get Locales </w> ( ) { if ( request = = null ) { throw new <w> Illegal State Exception </w> ( sm . <w> get String </w> ( <str-literal> <str-literal> <str-literal> ) ) ; } if ( Globals . <w> IS _ SECURITY _ ENABLED </w> ) { return <w> Access Controller </w> . <w> do Privileged </w> ( new <w> Get Locales Privileged Action </w> ( ) ) ; } else { return request . <w> get Locales </w> ( ) ; } },0
"private void <w> get Downstream Projects </w> ( String <w> project Id </w> { for ( String id : sorter . <w> get Dependents </w> ( <w> project Id </w> ) ) { if ( <w> project Ids </w> . add ( id ) & & transitive ) { <w> get Downstream Projects </w> ( id , <w> project Ids </w> , transitive ) ; } } }",1
@ Override public <w> Maven Execution Request </w> <w> set Project Present </w> ( boolean <w> project Present </w> ) { <w> is Project Present </w> = <w> project Present </w> ; return this ; },1
public K <w> set Key </w> ( K key ) { K old = this . key ; this . key = key ; return old ; },1
"abstract Read < K , V > build ( ) ;",0
@ Override public <w> Model Building Request </w> <w> set Build Start Time </w> ( Date <w> build Start Time </w> ) { this . <w> build Start Time </w> = <w> build Start Time </w> ; return this ; },1
final byte [ ] <w> lower Point </w> ;,1
public <w> Project Builder Configuration </w> <w> set Local Repository </w> ( <w> Artifact Repository </w> <w> local Repository </w> ) { this . <w> local Repository </w> = <w> local Repository </w> ; return this ; },1
<comment> public <w> M Bean Notification Info </w> [ ] <w> get Notification Info </w> ( ) { return notifier . <w> get Notification Info </w> ( ) ; },0
private static Icon trans = <w> Resource Loader Wrapper </w> . <w> lookup Icon Resource </w> ( <str-literal> <str-literal> <str-literal> ) ;,0
protected Map <w> get Current Object Model </w> ( ) { final Environment env = <w> Environment Helper </w> . <w> get Current Environment </w> ( ) ; if ( env = = null ) { throw new <w> Illegal State Exception </w> ( <str-literal> <str-literal> <str-literal> ) ; } return env . <w> get Object Model </w> ( ) ; },0
int hours = 0 ;,1
<comment> public static native void free ( <w> Byte Buffer </w> buf ) ;,0
private final byte [ ] HEADER = <w> HTTP _ AUTH </w> . <w> get Bytes </w> ( <w> Standard Charsets </w> . <w> ISO _ 8859 _ 1 </w> ) ;,1
public final Map <w> get Object Model </w> ( ) { return this . objectmodel ; },1
<comment> public long <w> get Peak Memory Used Bytes </w> ( ) { <w> update Peak Memory Used </w> ( ) ; return <w> peak Memory Used Bytes </w> ; },1
public Map <w> get Object Model </w> ( ) { return <w> object Model </w> ; },1
"<comment> @ Override public void disconnect ( String <w> node Id </w> ) { selector . close ( <w> node Id </w> ) ; List < <w> Api Keys </w> > <w> request Types </w> = new <w> Array List </w> < > ( ) ; long now = time . milliseconds ( ) ; for ( <w> In Flight Request </w> request : <w> in Flight Requests </w> . <w> clear All </w> ( <w> node Id </w> ) ) { if ( request . <w> is Internal Request </w> ) { if ( request . header . <w> api Key </w> ( ) = = <w> Api Keys </w> . METADATA . id ) { <w> metadata Updater </w> . <w> handle Disconnection </w> ( request . destination ) ; } } else { <w> request Types </w> . add ( <w> Api Keys </w> . <w> for Id </w> ( request . header . <w> api Key </w> ( ) ) ) ; <w> aborted Sends </w> . add ( new <w> Client Response </w> ( request . header , request . callback , request . destination , request . <w> created Time Ms </w> , now , true , null , null ) ) ; } } <w> connection States </w> . disconnected ( <w> node Id </w> , now ) ; if ( log . <w> is Debug Enabled </w> ( ) ) { log . debug ( <str-literal> <str-literal> <str-literal> , <w> node Id </w> , Utils . join ( <w> request Types </w> , <str-literal> <str-literal> <str-literal> ) ) ; } }",0
@ Override public <w> Maven Execution Request </w> <w> set Logging Level </w> ( int <w> logging Level </w> ) { this . <w> logging Level </w> = <w> logging Level </w> ; return this ; },1
public <w> Project Building Request </w> <w> set User Properties </w> ( Properties <w> user Properties </w> ) { if ( <w> user Properties </w> ! = null ) { this . <w> user Properties </w> = new Properties ( ) ; this . <w> user Properties </w> . <w> put All </w> ( <w> user Properties </w> ) ; } else { this . <w> user Properties </w> . clear ( ) ; } return this ; },1
private <w> Subscription State </w> subscriptions = new <w> Subscription State </w> ( <w> Offset Reset Strategy </w> . EARLIEST ) ;,1
"<comment> @ Override public void rename ( String <w> old Name </w> , String <w> new Name </w> ) throws <w> Naming Exception </w> { rename ( new <w> Composite Name </w> ( <w> old Name </w> ) , new <w> Composite Name </w> ( <w> new Name </w> ) ) ; }",0
public <w> Delay Fn </w> ( Duration delay ) { this . delay = delay ; },0
private static int <w> DEFAULT _ MAX _ STEPS </w> = 3 ;,0
"<comment> private final Map < Object , <w> Leaf Cache </w> > cache ;",0
<comment> private String [ ] name ;,1
