text,label
We have a core or translation file that is not already installed - add it,0
"This can't happen (how should utf8 not be supported!?!), so just throw an Error:",0
the whole blob has been previously read in,0
"//This is really ugly, but necessary:",1
add adapters that do nothing for keyboard and mouse actions,0
nested class:,0
AUTH,0
createMenuBar();,0
"If is a classifier role, it must return the received messages. In other cases, returns an empty list. TODO: Must be the outgoing messages or the received ones?",1
no existing archive,0
//{{{ handlePreferences() method,0
EEnumImpl overrides this to do nothing. The only case that is special is when a more specific instance of AbstractEnumerator is generated/reused. //,0
"@see org.argouml.model.AbstractModelEventPump#addModelEventListener(java.beans.PropertyChangeListener, java.lang.Object, java.lang.String[])",0
Add Userinfo Characters,0
"//new Font(""SansSerif"", Font.PLAIN, 10)",0
For detecting extra entries,0
(non-Javadoc) @see org.columba.core.profiles.IProfileManager#getProfileForName(java.lang.String),0
//i18n[ColumnListDialog.dropTitle=Select Column(s) To Drop],0
updateMainMenu(((JMeterGUIComponent) getCurrentNode().getUserObject()).createPopupMenu());,0
check for unknown column,0
Entity was found in second-level cache...,0
//MappingPackage ePackage = ((FunctionNamePair)object).ePackageMapping();,0
"Let's just build a Statemachine, and put it in a suitable namespace.",0
"we have at least one row, so try to retrieve the object Do Not limit the read of this data",0
"long, slow way causes disabling for defined",0
//{{{ preferredLayoutSize() method,0
Once and again the Netbeans editor calls createSyntax() after sessionEnding() was called. Then sess is null and the code below would break.,0
boolean enabled = true;,0
copy of indexes copy of sizes instructions to be resized future offset of a jump instruction,0
"Merges this URI's relative path with the base non-relative path. If base has no path, treat it as the root absolute path, unless this has no path either.",0
For 'b.foo()'. Args are only significant in maintaining backwards compatible AST structure,0
"Nothing more to do, don't copy owned elements.",0
seem to be the same,0
Try to transfer it by reading the contents of the temporary file and writing them to the output stream of the delegate. //,0
the pie area defines the circle/ellipse for regular pie sections. it is defined by shrinking the explodeArea by the explodeMargin factor.,0
"Create the instance 'This' namespace, set it on the object instance and invoke the instance initializer",0
PROTOCOL,0
"loop until a context is available, to clean up softrefs that might have been collected",0
Fire an event some anyone who cares about diagrams being removed can listen for it,0
//{{{ Go on to next line,0
These entries must be in the same order as columns are saved/restored.,0
"overwriteOptionsCheckBox = new JCheckBox(""Overwrite global settings""); overwriteOptionsCheckBox.addActionListener(this); overwriteOptionsCheckBox.setActionCommand(""OVERWRITE"");",0
Copy a file from source to destination. TODO: Perhaps belongs in a utilities class of some sort. @param source the source file to be copied @param dest the destination file @return success status flag,1
Race condition here...,1
Unwrap primitives,0
"thread is not alive, skip it",0
"TODO: If a namespace with sub-classdiagrams is deleted, then { confirmStr += Translator.localize( ""optionpane.remove-from-model-will-remove-subdiagram""); doAsk = true; }",0
to restore last selected tab (better user-friendly),0
"TODO: Add ""unnamed"" or ""new"" or something? (Localized, of course)",1
"Operator numeric-ids = < > << >> >>> + - / & | ^ % ! ~ == <= >= <<= >>= >>>= += -= = /= &= |= ^= %= != . , : ; ? ( ) [ ] { } ++ -- && ||",0
"by default, messages are always displayed",0
"Connect to the http server, and do a simple http get",0
theStereotype.setStereotype(???);,0
"+ JMX names, do not change their values",0
find the property in the rrule string,0
request width index == itemCount,0
"index+1 works for [^abc] lists, not for generic lookahead (--> index)",0
Try to squeltch the native code stack trace if the exception was caused by a reflective call back into the bsh interpreter (e.g. eval() or source(),0
TODO: Check for Resource to hold this and create if necessary? This is a discrepancy between MDR which does it here and eUML which does it as part of setRootModel,1
"//throw new IdentifierGenerationException(""save associated object first, or disable cascade for inverse association"");",0
do nothing...,0
"Alternatively, we could reduce the height of the Fig by the height of this one hidden compartment. But that would not be possible for the width - so we better return to minimal dimensions overall.",0
1F00..1FFF;,0
@see org.argouml.model.ChangeableKind#getFrozen(),0
errorDetected(),0
box.setLocationRelativeTo(jframe);,0
resync search engine -> this is only needed for Lucene right now,0
//i18n[DumpApplicationCommand.error.dumpingdrivers=Error dumping drivers],0
check no charset,0
"Look, if there's already a java implementation",0
This could be smarter...,1
------------- get/set properties ----------------------//,0
Literal char . XY X|Y|Z X [a-zA-Z] etc. [^a-zA-Z] etc. (X) or (?:X) ^ $ \b \B \< \> \A \Z \z ? +? strings back references (?=...) (?!...) (?<=...) (?<!...) (?>...) (?ims-ims:...) (?(...)yes|no),0
Create the source and target JDOMs. //,0
we don't need two identical shortcuts,0
"In spite of the name, this is actually used to determine if the loop controller is repeatable. The value is only used in nextIsNull() when the loop end condition has been detected: If forever==true, then it calls resetLoopCount(), otherwise it calls setDone(true). Loop Controllers always set forever=true, so that they will be executed next time the parent invokes them. Thread Group sets the value false, so nextIsNull() sets done, and the Thread Group will not be repeated. However, it's not clear that a Thread Group could ever be repeated.",0
Include only non-duplicate namespace declarations. //,0
"If the previous line matches indentNextLine or indentNextLines, add a level of indent",0
event is null when featureTableViewer is double clicked,0
We are displaying an AssertionResult,0
i18n[SchemaPropertiesPanel.schemaTableUpdateLable2=in all Schemas to],0
Now allow the URL handling to work.,0
"Cut and Paste need to be worked on, so for now do not include them Also, the copy operations do not seem to work right - we may need special versions for the cellEditor menu. // add(_cut); // add(_copy); // add(_copyHtml); // add(_paste); // addSeparator();",0
don't catch the JUnit exceptions,0
Clean up our two models and the extent that we read profile in to,0
"If this return's alias has not been processed yet, do so b4 further processing of this return",0
no attachments -> only show bodytext editor,0
"Make sure you log the exception, as it might be swallowed",0
"Generates a string representation for the provided attribute. The string representation will be of the form: visibility name [multiplicity] : type-expression = initial-value {property-string} Depending on settings in Notation, visibility, multiplicity, type-expression, initial value and properties are shown/not shown.",0
default true for compatibility,0
//{{{ getFirstBuffer() method,0
Arrays incomplete... need to use the array setter,0
//wrap,0
TODO: The recurrence goes in front of the action? Does this not contradict the header JavaDoc?,1
//{{{ mouseReleased() method,0
For converters to use,0
Required with the first beta of JDK1.4.1 to stop this scrollpane from being too tall.,0
try a null key - should throw an exception,0
TODO: Allow .zargo as profile as well?,1
//{{{ classToFile() method,0
"//create ""log10""-type label",0
Copy the next value in the current,0
"Open files, create the view and hide the splash screen.",0
"There's only 1 test plan, so can cache the mode here",0
"//"" cascade"";",0
"record the chart area, if info is requested...",0
did zero tick last iteration //no label //clear flag,0
Atomic integers for symbol and method IDs,0
"check for scheme - RFC 2396 5.2 #3 if we found a scheme, it means absolute URI, so we're done",0
//{{{ getAction() method,0
delete all data in directory,0
XXX what is the following doing? should it run if !javadoc4 && executable != null?,1
FeatureMapEntry,0
//////////////////////////////////////////////////////////////////////////predetermined segments sizes ////////////////////////////////////////////////////////////////////////////,0
lazy instantiation,0
//frame.setDisplayToolTips(false);,0
//retry copy,0
